Sat1.X                    Sat1.Y                    Sat1.Z                    Sat1.ElapsedDays          Sat1.RAAN                 Sat1.Earth.RMAG           
-331.094                  5973.93                   4390.56                   0.228593                  98.711                    7421.22                   
-181.288                  5503.76                   4974.95                   0.229802                  98.7117                   7421.21                   
-29.4891                  4974.95                   5506.68                   0.231011                  98.7126                   7421.22                   
122.694                   4393.07                   5980.05                   0.23222                   98.7136                   7421.26                   
273.647                   3764.25                   6390                      0.233431                  98.7149                   7421.35                   
421.761                   3095.14                   6732.07                   0.234641                  98.7163                   7421.5                    
565.456                   2392.86                   7002.58                   0.235853                  98.7179                   7421.7                    
703.193                   1664.87                   7198.56                   0.237064                  98.7196                   7421.97                   
833.498                   918.933                   7317.88                   0.238276                  98.7213                   7422.3                    
954.969                   163.04                    7359.2                    0.239489                  98.7232                   7422.69                   
1066.3                    -594.726                  7322.05                   0.240701                  98.725                    7423.15                   
1166.3                    -1346.23                  7206.81                   0.241914                  98.7268                   7423.66                   
1253.89                   -2083.42                  7014.71                   0.243127                  98.7285                   7424.21                   
1328.13                   -2798.38                  6747.81                   0.244339                  98.7302                   7424.81                   
1388.24                   -3483.46                  6408.99                   0.245552                  98.7317                   7425.42                   
1433.56                   -4131.36                  6001.92                   0.246764                  98.733                    7426.05                   
1463.63                   -4735.14                  5530.97                   0.247976                  98.7342                   7426.67                   
1478.13                   -5288.4                   5001.23                   0.249187                  98.7352                   7427.27                   
1476.92                   -5785.26                  4418.38                   0.250399                  98.736                    7427.83                   
1460.01                   -6220.49                  3788.67                   0.251609                  98.7365                   7428.34                   
1446.67                   -6402.66                  3478                      0.252179                  98.7368                   7428.55                   
1437.03                   -6504.74                  3287.63                   0.252521                  98.7369                   7428.68                   
1425.38                   -6607.8                   3080.96                   0.252886                  98.737                    7428.8                    
1384.85                   -6864.9                   2479.31                   0.253922                  98.7372                   7429.11                   
1325.11                   -7093.81                  1765.72                   0.255111                  98.7374                   7429.39                   
1250.55                   -7251.82                  1022.62                   0.256318                  98.7375                   7429.57                   
1162.63                   -7333.25                  267.481                   0.257527                  98.7375                   7429.65                   
1062.37                   -7336.9                   -490.559                  0.258736                  98.7375                   7429.63                   
950.84                    -7262.74                  -1243.37                  0.259944                  98.7375                   7429.5                    
829.223                   -7111.55                  -1983                     0.261153                  98.7376                   7429.27                   
698.798                   -6884.93                  -2701.62                  0.262362                  98.7378                   7428.95                   
560.938                   -6585.23                  -3391.66                  0.263572                  98.7381                   7428.54                   
417.093                   -6215.59                  -4045.79                  0.264781                  98.7385                   7428.05                   
268.782                   -5779.9                   -4657.08                  0.265991                  98.7392                   7427.51                   
117.571                   -5282.73                  -5219.01                  0.267202                  98.74                     7426.92                   
-34.9406                  -4729.29                  -5725.6                   0.268412                  98.741                    7426.29                   
-187.134                  -4125.42                  -6171.41                  0.269623                  98.7421                   7425.66                   
-337.39                   -3477.52                  -6551.64                  0.270835                  98.7435                   7425.02                   
-484.104                  -2792.47                  -6862.18                  0.272047                  98.7449                   7424.41                   
-625.71                   -2077.54                  -7099.68                  0.273259                  98.7465                   7423.82                   
-760.687                  -1340.37                  -7261.53                  0.274472                  98.7482                   7423.27                   
-827.875                  -950.259                  -7315.24                  0.275103                  98.7491                   7423.01                   
-861.008                  -751.53                   -7334.38                  0.275423                  98.7496                   7422.88                   
-893.464                  -552.486                  -7348.05                  0.275743                  98.7501                   7422.76                   
-1004.65                  166.293                   -7352.17                  0.276893                  98.7517                   7422.36                   
-1110.85                  917.806                   -7280.77                  0.278098                  98.7535                   7421.99                   
-1205.82                  1663.51                   -7131.64                  0.27931                   98.7552                   7421.69                   
-1288.01                  2391.8                    -6906.4                   0.280522                  98.7568                   7421.46                   
-1356.46                  3094.49                   -6607.55                  0.281734                  98.7583                   7421.29                   
-1410.47                  3764.02                   -6238.33                  0.282946                  98.7597                   7421.18                   
-1449.44                  4393.24                   -5802.73                  0.284157                  98.7609                   7421.13                   
-1472.99                  4975.46                   -5305.47                  0.285367                  98.7619                   7421.11                   
-1480.86                  5504.51                   -4751.91                  0.286577                  98.7628                   7421.13                   
-1472.99                  5974.82                   -4147.98                  0.287786                  98.7634                   7421.18                   
-1449.48                  6381.43                   -3500.16                  0.288995                  98.764                    7421.24                   
-1410.58                  6720.1                    -2815.36                  0.290204                  98.7643                   7421.3                    
-1356.73                  6987.29                   -2100.86                  0.291411                  98.7645                   7421.36                   
-1288.49                  7180.25                   -1364.25                  0.292619                  98.7647                   7421.41                   
-1206.61                  7296.98                   -613.315                  0.293826                  98.7647                   7421.45                   
-1111.94                  7336.28                   144.017                   0.295033                  98.7647                   7421.47                   
-1005.48                  7297.78                   899.754                   0.29624                   98.7647                   7421.47                   
-888.365                  7181.89                   1645.95                   0.297446                  98.7648                   7421.45                   
-761.815                  6989.84                   2374.73                   0.298653                  98.7649                   7421.42                   
-627.162                  6723.61                   3078.42                   0.299861                  98.7651                   7421.38                   
-485.822                  6386                      3749.57                   0.301068                  98.7654                   7421.34                   
